nohup: ignoring input
Traceback (most recent call last):
  File "/home7/huangjunhao/xujingzehua/USV-AUV-col/train_td3.py", line 12, in <module>
    from td3 import TD3
  File "/home7/huangjunhao/xujingzehua/USV-AUV-col/td3.py", line 3, in <module>
    import torch
ModuleNotFoundError: No module named 'torch'
nohup: ignoring input
EP:80 | TD Error [71.87359270063433, 29.09157048834192] | ALoss [318.5486686165397, 292.33782754720863] | ep_r -68 | L_data 0.46 | sum_rate 7.60 | idu 32.00 | ec 179.19 | N_D 1 | CS [3. 3.] | FX [27.  0.]
EP:81 | TD Error [73.5065058328055, 28.559263138861567] | ALoss [303.9560751748252, 294.4070364754874] | ep_r -57 | L_data 0.44 | sum_rate 9.50 | idu 40.00 | ec 177.27 | N_D 1 | CS [10. 10.] | FX [0. 0.]
EP:82 | TD Error [71.2039150577206, 28.808948208163905] | ALoss [293.873445066896, 296.4947978657085] | ep_r -68 | L_data 0.49 | sum_rate 6.89 | idu 29.00 | ec 180.66 | N_D 2 | CS [0. 0.] | FX [0. 0.]
EP:83 | TD Error [67.5079222573386, 27.639182560451022] | ALoss [291.6341555783084, 299.9265544940899] | ep_r -71 | L_data 0.43 | sum_rate 9.74 | idu 41.00 | ec 180.86 | N_D 1 | CS [0. 0.] | FX [0. 0.]
EP:84 | TD Error [70.03494848809638, 27.02850109332806] | ALoss [279.12420044555057, 296.8870081944423] | ep_r -50 | L_data 0.56 | sum_rate 4.27 | idu 18.00 | ec 165.69 | N_D 4 | CS [0. 0.] | FX [0. 0.]
EP:85 | TD Error [68.55981661389758, 26.996466829107476] | ALoss [271.81633704430334, 294.00021908023615] | ep_r -56 | L_data 0.49 | sum_rate 7.12 | idu 30.00 | ec 181.43 | N_D 2 | CS [0. 0.] | FX [0. 0.]
EP:86 | TD Error [81.2552387397606, 26.43226068384283] | ALoss [280.3407394607346, 294.81612320784683] | ep_r -103 | L_data 0.52 | sum_rate 5.94 | idu 25.00 | ec 176.72 | N_D 3 | CS [0. 0.] | FX [251.   0.]
EP:87 | TD Error [77.2794557394205, 25.95462487532304] | ALoss [288.6187601156168, 295.45253556258194] | ep_r -60 | L_data 0.47 | sum_rate 6.89 | idu 29.00 | ec 176.36 | N_D 2 | CS [0. 0.] | FX [57.  0.]
EP:88 | TD Error [78.14552395160382, 27.49673131891302] | ALoss [291.41495046701345, 299.0902025525744] | ep_r -64 | L_data 0.46 | sum_rate 7.12 | idu 30.00 | ec 169.09 | N_D 1 | CS [3. 3.] | FX [0. 0.]
EP:89 | TD Error [74.090912095793, 28.122001614603963] | ALoss [287.30255971445547, 299.46449817882313] | ep_r -66 | L_data 0.53 | sum_rate 5.22 | idu 22.00 | ec 166.50 | N_D 3 | CS [3. 3.] | FX [9. 0.]
EP:90 | TD Error [78.86311983609652, 28.151067278363726] | ALoss [287.3123757346169, 302.5563513329932] | ep_r -61 | L_data 0.53 | sum_rate 4.27 | idu 18.00 | ec 151.51 | N_D 4 | CS [0. 0.] | FX [0. 0.]
EP:91 | TD Error [77.56851418844828, 28.491863725187777] | ALoss [284.84293075088976, 302.5006719049993] | ep_r -55 | L_data 0.47 | sum_rate 8.07 | idu 34.00 | ec 159.65 | N_D 2 | CS [0. 0.] | FX [0. 0.]
EP:92 | TD Error [74.73432919695661, 29.228105124893723] | ALoss [290.8881275279896, 299.7748064313616] | ep_r -67 | L_data 0.49 | sum_rate 6.41 | idu 27.00 | ec 158.77 | N_D 2 | CS [0. 0.] | FX [0. 0.]
EP:93 | TD Error [78.68204221049031, 28.918886939247887] | ALoss [293.6111111483731, 299.3176327456723] | ep_r -62 | L_data 0.49 | sum_rate 6.17 | idu 26.00 | ec 187.75 | N_D 2 | CS [2. 2.] | FX [0. 0.]
EP:94 | TD Error [77.87675790853433, 32.37306367815077] | ALoss [291.77703180608455, 296.6081672843758] | ep_r -70 | L_data 0.58 | sum_rate 2.85 | idu 12.00 | ec 137.13 | N_D 5 | CS [5. 5.] | FX [ 0. 56.]
EP:95 | TD Error [74.81527809806161, 35.631507235211686] | ALoss [293.2875606449215, 299.74816120159136] | ep_r -76 | L_data 0.62 | sum_rate 2.61 | idu 11.00 | ec 137.20 | N_D 7 | CS [0. 0.] | FX [  0. 155.]
EP:96 | TD Error [76.97323789034452, 35.80998589728143] | ALoss [292.29370431204535, 309.12391554368486] | ep_r -70 | L_data 0.49 | sum_rate 5.46 | idu 23.00 | ec 164.32 | N_D 2 | CS [3. 3.] | FX [0. 0.]
EP:97 | TD Error [75.16553716249875, 36.54985947851892] | ALoss [290.2835655555382, 299.6512655130514] | ep_r -51 | L_data 0.59 | sum_rate 2.37 | idu 10.00 | ec 168.99 | N_D 6 | CS [0. 0.] | FX [0. 0.]
EP:98 | TD Error [73.01418510040679, 35.32290124464464] | ALoss [288.85412640338177, 293.1467694293012] | ep_r -54 | L_data 0.65 | sum_rate 0.24 | idu 1.00 | ec 143.55 | N_D 8 | CS [0. 0.] | FX [0. 0.]
EP:99 | TD Error [70.25861132657016, 37.744090613785325] | ALoss [284.87205180683577, 287.084237234933] | ep_r -59 | L_data 0.50 | sum_rate 6.17 | idu 26.00 | ec 171.98 | N_D 2 | CS [0. 0.] | FX [0. 0.]
EP:100 | TD Error [78.34883650056608, 36.54294830935818] | ALoss [288.070737490049, 287.2221547068654] | ep_r -59 | L_data 0.42 | sum_rate 9.97 | idu 42.00 | ec 188.05 | N_D 1 | CS [12. 12.] | FX [0. 0.]
EP:101 | TD Error [74.95843199845199, 36.94260891905793] | ALoss [286.22328010734384, 287.5690356396533] | ep_r -65 | L_data 0.49 | sum_rate 6.41 | idu 27.00 | ec 177.20 | N_D 1 | CS [4. 4.] | FX [0. 0.]
EP:102 | TD Error [75.79916864484697, 35.830791327622265] | ALoss [287.44977849299136, 290.67044436276615] | ep_r -60 | L_data 0.42 | sum_rate 10.45 | idu 44.00 | ec 171.86 | N_D 1 | CS [4. 4.] | FX [0. 0.]
EP:103 | TD Error [73.07877603658548, 35.26626963905998] | ALoss [287.7417519919046, 289.42269668807756] | ep_r -59 | L_data 0.42 | sum_rate 9.50 | idu 40.00 | ec 178.73 | N_D 1 | CS [4. 4.] | FX [0. 0.]
EP:104 | TD Error [77.97167984755723, 34.88884431475049] | ALoss [285.17305744182573, 292.32786415244914] | ep_r -71 | L_data 0.52 | sum_rate 5.22 | idu 22.00 | ec 166.73 | N_D 3 | CS [3. 3.] | FX [0. 0.]
EP:105 | TD Error [79.97927480310827, 36.10976570350426] | ALoss [290.84868259791966, 292.79296853659037] | ep_r -73 | L_data 0.47 | sum_rate 7.36 | idu 31.00 | ec 170.71 | N_D 2 | CS [12. 12.] | FX [88.  0.]
EP:106 | TD Error [79.7677320619444, 37.31947238819225] | ALoss [291.51337221738225, 289.5186298076923] | ep_r -53 | L_data 0.49 | sum_rate 7.84 | idu 33.00 | ec 180.57 | N_D 2 | CS [6. 6.] | FX [0. 0.]
EP:107 | TD Error [76.94579085198554, 36.29292911297077] | ALoss [271.89903215071064, 292.56686066009183] | ep_r -56 | L_data 0.55 | sum_rate 4.04 | idu 17.00 | ec 172.62 | N_D 4 | CS [0. 0.] | FX [0. 0.]
